NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
Anthony Frederick,12/7/1964,76752,https://www.nba.com/stats/player/76752/career/,Anthony Frederick,fredean01,12/7/1964,https://www.basketball-reference.com/players/f/fredean01.html,24,F,6'7,205 lbs,Pepperdine,USA
Anthony Gill,10/17/1992,1630264,https://www.nba.com/stats/player/1630264/career/,Anthony Gill,gillan01,10/17/1992,https://www.basketball-reference.com/players/g/gillan01.html,16,F,6'7,230 lbs,Virginia,USA
Anthony Goldwire,9/6/1971,924,https://www.nba.com/stats/player/924/career/,Anthony Goldwire,goldwan01,9/6/1971,https://www.basketball-reference.com/players/g/goldwan01.html,5,G,6'2,182 lbs,Houston,USA
Anthony Grundy,4/15/1979,101219,https://www.nba.com/stats/player/101219/career/,Anthony Grundy,grundan01,4/15/1979,https://www.basketball-reference.com/players/g/grundan01.html,16,G,6'3,185 lbs,North Carolina State,USA
Anthony Johnson,10/2/1974,1533,https://www.nba.com/stats/player/1533/career/,Anthony Johnson,johnsan02,10/2/1974,https://www.basketball-reference.com/players/j/johnsan02.html,8,G,6'3,195 lbs,College of Charleston,USA
Anthony Jones,9/13/1962,77173,https://www.nba.com/stats/player/77173/career/,Anthony Jones,jonesan01,9/13/1962,https://www.basketball-reference.com/players/j/jonesan01.html,21,G,6'6,195 lbs,UNLV,USA
Anthony Lamb,1/20/1998,1630237,https://www.nba.com/stats/player/1630237/career/,Anthony Lamb,lamban01,1/20/1998,https://www.basketball-reference.com/players/l/lamban01.html,33,F,6'6,227 lbs,Vermont,USA
Anthony Mason,12/14/1966,193,https://www.nba.com/stats/player/193/career/,Anthony Mason,masonan01,12/14/1966,https://www.basketball-reference.com/players/m/masonan01.html,17,F,6'8,255 lbs,Tennessee State,USA
Anthony Miller,10/22/1971,292,https://www.nba.com/stats/player/292/career/,Anthony Miller,millean01,10/22/1971,https://www.basketball-reference.com/players/m/millean01.html,6,F,6'9,255 lbs,Michigan State,USA
Anthony Morrow,9/27/1985,201627,https://www.nba.com/stats/player/201627/career/,Anthony Morrow,morroan01,9/27/1985,https://www.basketball-reference.com/players/m/morroan01.html,11,G,6'5,210 lbs,Georgia Tech,USA
Anthony Parker,6/19/1975,1515,https://www.nba.com/stats/player/1515/career/,Anthony Parker,parkean01,6/19/1975,https://www.basketball-reference.com/players/p/parkean01.html,18,G,6'6,210 lbs,Bradley,USA
Anthony Peeler,11/25/1969,324,https://www.nba.com/stats/player/324/career/,Anthony Peeler,peelean01,11/25/1969,https://www.basketball-reference.com/players/p/peelean01.html,8,G,6'4,208 lbs,Missouri,USA
Anthony Pullard,6/23/1966,77890,https://www.nba.com/stats/player/77890/career/,Anthony Pullard,pullaan01,6/23/1966,https://www.basketball-reference.com/players/p/pullaan01.html,23,F,6'10,245 lbs,McNeese State,USA
Anthony Randolph,7/15/1989,201576,https://www.nba.com/stats/player/201576/career/,Anthony Randolph,randoan01,7/15/1989,https://www.basketball-reference.com/players/r/randoan01.html,15,F,6'11,225 lbs,Louisiana State,USA
Anthony Roberson,2/14/1983,101194,https://www.nba.com/stats/player/101194/career/,Anthony Roberson,roberan02,2/14/1983,https://www.basketball-reference.com/players/r/roberan02.html,5,G,6'2,180 lbs,Florida,USA
Anthony Roberts,4/15/1955,77975,https://www.nba.com/stats/player/77975/career/,Anthony Roberts,roberan01,4/15/1955,https://www.basketball-reference.com/players/r/roberan01.html,30,F,6'5,185 lbs,Oral Roberts,USA
Anthony Taylor,11/30/1965,78295,https://www.nba.com/stats/player/78295/career/,Anthony Taylor,tayloan01,11/30/1965,https://www.basketball-reference.com/players/t/tayloan01.html,3,G,6'4,175 lbs,Oregon,USA
Anthony Tolliver,6/1/1985,201229,https://www.nba.com/stats/player/201229/career/,Anthony Tolliver,tollian01,6/1/1985,https://www.basketball-reference.com/players/t/tollian01.html,43,F,6'8,240 lbs,Creighton,USA
Anthony Tucker,4/4/1969,141,https://www.nba.com/stats/player/141/career/,Anthony Tucker,tuckean01,4/4/1969,https://www.basketball-reference.com/players/t/tuckean01.html,21,F,6'8,220 lbs,Wake Forest,USA
Antoine Carr,7/23/1961,156,https://www.nba.com/stats/player/156/career/,Antoine Carr,carran01,7/23/1961,https://www.basketball-reference.com/players/c/carran01.html,55,F,6'9,270 lbs,Wichita State,USA
Antoine Rigaudeau,12/17/1971,2541,https://www.nba.com/stats/player/2541/career/,Antoine Rigaudeau,rigauan01,12/17/1971,https://www.basketball-reference.com/players/r/rigauan01.html,17,G,6'7,210 lbs,Virtus Bologna,France
Antoine Walker,8/12/1976,952,https://www.nba.com/stats/player/952/career/,Antoine Walker,walkean02,8/12/1976,https://www.basketball-reference.com/players/w/walkean02.html,24,F,6'9,245 lbs,Kentucky,USA
Antoine Wright,2/6/1984,101120,https://www.nba.com/stats/player/101120/career/,Antoine Wright,wrighan01,2/6/1984,https://www.basketball-reference.com/players/w/wrighan01.html,21,F-G,6'7,215 lbs,Texas A&M,USA
Antonio Anderson,6/5/1985,202079,https://www.nba.com/stats/player/202079/career/,Antonio Anderson,anderan02,6/5/1985,https://www.basketball-reference.com/players/a/anderan02.html,8,G,6'6,215 lbs,Memphis,USA
Antonio Blakeney,10/4/1996,1628469,https://www.nba.com/stats/player/1628469/career/,Antonio Blakeney,blakean01,10/4/1996,https://www.basketball-reference.com/players/b/blakean01.html,9,G,6'4,192 lbs,Louisiana State,USA
