NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
Andrew Levane,4/11/1920,77375,https://www.nba.com/stats/player/77375/career/,Andrew Levane,levanan01,4/11/1920,https://www.basketball-reference.com/players/l/levanan01.html,3,F,6'2,190 lbs,St. John's,USA
Andrew Nicholson,12/8/1989,203094,https://www.nba.com/stats/player/203094/career/,Andrew Nicholson,nichoan01,12/8/1989,https://www.basketball-reference.com/players/n/nichoan01.html,44,F,6'9,250 lbs,St. Bonaventure,Canada
Andrew Toney,11/23/1957,78351,https://www.nba.com/stats/player/78351/career/,Andrew Toney,toneyan01,11/23/1957,https://www.basketball-reference.com/players/t/toneyan01.html,22,G,6'3,178 lbs,Louisiana-Lafayette,USA
Andrew White III,6/16/1993,1628510,https://www.nba.com/stats/player/1628510/career/,Andrew White,whitean01,6/16/1993,https://www.basketball-reference.com/players/w/whitean01.html,4,F,6'7,210 lbs,Syracuse,USA
Andrew Wiggins,2/23/1995,203952,https://www.nba.com/stats/player/203952/career/,Andrew Wiggins,wiggian01,2/23/1995,https://www.basketball-reference.com/players/w/wiggian01.html,22,F,6'7,197 lbs,Kansas,Canada
Andris Biedrins,4/2/1986,2740,https://www.nba.com/stats/player/2740/career/,Andris Biedrinö,biedran01,4/2/1986,https://www.basketball-reference.com/players/b/biedran01.html,15,C,7'1,242 lbs,BK Skonto,Latvia
Andy Duncan,4/17/1922,76615,https://www.nba.com/stats/player/76615/career/,Andy Duncan,duncaan01,4/17/1922,https://www.basketball-reference.com/players/d/duncaan01.html,21,F,6'6,195 lbs,William & Mary,USA
Andy Johnson,4/21/1931,77131,https://www.nba.com/stats/player/77131/career/,Andy Johnson,johnsan01,11/8/1932,https://www.basketball-reference.com/players/j/johnsan01.html,12,F,6'5,215 lbs,Portland,USA
Andy Kostecka,2/10/1921,77303,https://www.nba.com/stats/player/77303/career/,,,,,,F,6'3,203 lbs,Georgetown,USA
Andy O'Donnell,3/10/1925,77746,https://www.nba.com/stats/player/77746/career/,Andy O'Donnell,odonnan01,3/10/1925,https://www.basketball-reference.com/players/o/odonnan01.html,,G,6'1,180 lbs,Loyola-Maryland,USA
