,Date,Team,Acquired,Relinquished,Notes
2057,2003-12-29,Pistons,,Tremaine Fowlkes,placed on IL with back spasms
2058,2003-12-29,Pistons,Darvin Ham,,activated from IL
2059,2003-12-30,Grizzlies,,Troy Bell,placed on IL
2060,2003-12-30,Grizzlies,Dahntay Jones,,activated from IL
2061,2003-12-30,Knicks,,Michael Doleac,placed on IL with left patella tendinitis
2062,2003-12-30,Knicks,,Michael Sweetney,placed on IL with lower back spasms
2063,2003-12-30,Raptors,,Lamond Murray,placed on IL with sore lower back
2064,2003-12-30,Raptors,Mengke Bateer,,activated from IL
2065,2003-12-30,Wizards,Gilbert Arenas,,activated from IL
2066,2003-12-31,Clippers,,Olden Polynice,placed on IL with sprained neck
2067,2003-12-31,Clippers,Predrag Drobnjak,,activated from IL
2068,2004-01-02,Heat,,Dwyane Wade,placed on IL with bone bruise in right wrist
2069,2004-01-02,Heat,Jerome Beasley,,activated from IL
2070,2004-01-02,Mavericks,,Eduardo Najera,placed on IL with sore left knee
2071,2004-01-02,Warriors,Ronald Jones,,activated from IL
2072,2004-01-04,Lakers,,Karl Malone,placed on IL with sprained MCL in right knee
2073,2004-01-04,Lakers,Jamal Sampson,,activated from IL
2074,2004-01-05,Blazers,,Travis Outlaw,placed on IL with bilateral patellar tendinitis
2075,2004-01-05,Jazz,,Ben Handlogten,placed on IL with torn ACL in left knee
2076,2004-01-05,Spurs,,Emanuel Ginobili,placed on IL with sprained lower back
2077,2004-01-05,Spurs,Alex Garcia,,activated from IL
2078,2004-01-05,Suns,,Scott Williams,placed on IL with back spasms
2079,2004-01-05,Jazz,Michael Ruffin,,activated from IL
2080,2004-01-06,Cavaliers,,Bruno Sundov,placed on IL with right Achilles tendinitis
2081,2004-01-06,Cavaliers,,Ira Newble,placed on IL with bruised right quadriceps
2082,2004-01-06,Cavaliers,Dajuan Wagner,,activated from IL
2083,2004-01-06,Cavaliers,DeSagana Diop,,activated from IL
2084,2004-01-07,Heat,,Jerome Beasley,placed on IL with strained lower back
2085,2004-01-07,Heat,John Wallace,,activated from IL
2086,2004-01-08,Blazers,Derek Anderson,,activated from IL
2087,2004-01-09,Nets,,Eddie Griffin,placed on IL with sore back
2088,2004-01-09,Nets,Zoran Planinic,,activated from IL
2089,2004-01-09,Spurs,,Alex Garcia,placed on IL with bruised right knee
2090,2004-01-09,Suns,,Maciej Lampe,placed on IL with back spasms
2091,2004-01-09,Suns,Amare Stoudemire,,activated from IL
2092,2004-01-09,Suns,Zarko Cabarkapa,,activated from IL
2093,2004-01-10,Knicks,,Cezary Trybanski,placed on IL with left patella tendinitis
2094,2004-01-10,Knicks,Michael Doleac,,activated from IL
2095,2004-01-10,Knicks,Michael Sweetney,,activated from IL
2096,2004-01-10,Raptors,,Milt Palacio,placed on IL with fractured left wrist
2097,2004-01-10,Raptors,Lamond Murray,,activated from IL
2098,2004-01-10,Wizards,,Gilbert Arenas,placed on IL with strained stomach muscle
2099,2004-01-13,Bulls,,Chris Jefferies,placed on IL with sprained left ankle
2100,2004-01-13,Bulls,Scottie Pippen,,activated from IL
2101,2004-01-13,Heat,,Samaki Walker,placed on IL with bone bruise in right ankle
2102,2004-01-13,Heat,Udonis Haslem,,activated from IL
2103,2004-01-14,Lakers,,Kobe Bryant,placed on IL with sprained right shoulder
2104,2004-01-14,Pacers,,James Jones,placed on IL with strained left calf
2105,2004-01-14,Pacers,Jonathan Bender,,activated from IL
2106,2004-01-14,Spurs,,Jason Hart,placed on IL with left patella tendinitis
2107,2004-01-14,Spurs,Emanuel Ginobili,,activated from IL
2108,2004-01-15,Blazers,Ruben Boumtje Boumtje,,activated from IL
2109,2004-01-15,Blazers,Travis Outlaw,,activated from IL
2110,2004-01-15,Cavaliers,,J.R. Bremer,placed on IL with sprained right ankle
2111,2004-01-15,Cavaliers,Ira Newble,,activated from IL
2112,2004-01-15,Warriors,,Nick Van Exel,placed on IL with left knee inflammation
2113,2004-01-15,Warriors,Adonal Foyle,,activated from IL
2114,2004-01-16,Clippers,Melvin Ely,,activated from IL
2115,2004-01-17,Hornets,,David Wesley,placed on IL
2116,2004-01-17,Hornets,,David West,placed on IL with sprained left big toe
2117,2004-01-18,Nuggets,,Jeff Trepagnier,placed on IL with sprained left ankle
2118,2004-01-18,Nuggets,Mark Pope,,activated from IL
2119,2004-01-19,Clippers,,Bobby Simmons,placed on IL with sprained left hip
2120,2004-01-19,Suns,,Antonio McDyess,placed on IL with left knee tendinitis
2121,2004-01-19,Suns,Maciej Lampe,,activated from IL
2122,2004-01-21,Knicks,,Michael Sweetney,placed on IL with patella tendinitis
2123,2004-01-21,Raptors,,Michael Curry,placed on IL with bone chips in right elbow
2124,2004-01-21,Raptors,Milt Palacio,,activated from IL
2125,2004-01-22,Sonics,,Richie Frahm,placed on IL with right knee tendinitis
2126,2004-01-22,Sonics,Ansu Sesay,,activated from IL
2127,2004-01-23,Celtics,Kendrick Perkins,,activated from IL
2128,2004-01-23,Pacers,,Jonathan Bender,placed on IL with sore left knee
2129,2004-01-23,Pacers,Primoz Brezec,,activated from IL
2130,2004-01-24,Lakers,,Brian Cook,placed on IL with broken right pinky finger
2131,2004-01-24,Lakers,Kobe Bryant,,activated from IL
2132,2004-01-24,Lakers,Rick Fox,,activated from IL
2133,2004-01-25,Bulls,,Kendall Gill,placed on IL with strained right Achilles tendon
2134,2004-01-25,Bulls,Chris Jefferies,,activated from IL
2135,2004-01-25,Magic,Reece Gaines,,activated from IL
2136,2004-01-26,76ers,,Derrick Coleman,placed on IL with broken right ring finger
2137,2004-01-26,76ers,Willie Green,,activated from IL
2138,2004-01-26,Cavaliers,,Ruben Boumtje Boumtje,placed on IL with sprained left ankle
2139,2004-01-26,Cavaliers,J.R. Bremer,,activated from IL
2140,2004-01-27,Hornets,,Bryce Drew,placed on IL with lower back spasms
2141,2004-01-27,Hornets,Jamal Mashburn,,activated from IL
2142,2004-01-28,Heat,,Rasual Butler,placed on IL with strained groin
2143,2004-01-28,Heat,Dwyane Wade,,activated from IL
2144,2004-01-28,Mavericks,,Tony Delk,placed on IL with sprained left ankle
2145,2004-01-28,Mavericks,Eduardo Najera,,activated from IL
2146,2004-01-30,Lakers,,Kobe Bryant,placed on IL with lacerated right index finger
2147,2004-01-30,Nuggets,,Mark Pope,placed on IL with left patella tendinitis
2148,2004-01-30,Nuggets,Jon Barry,,activated from IL
2149,2004-01-31,Bulls,,Chris Jefferies,placed on IL with sprained right ankle
2150,2004-01-31,Bulls,Tyson Chandler,,activated from IL
2151,2004-01-31,Knicks,Michael Sweetney,,activated from IL
2152,2004-01-31,Pacers,,Jamison Brewer,placed on IL with sprained right big toe
2153,2004-01-31,Pacers,Kenny Anderson,,activated from IL
2154,2004-02-01,Wizards,,Mitchell Butler,placed on IL with right knee tendinitis
2155,2004-02-01,Wizards,Jerry Stackhouse,,activated from IL
2156,2004-02-02,Sonics,,Brent Barry,placed on IL with broken right ring finger
2157,2004-02-02,Sonics,Richie Frahm,,activated from IL
2158,2004-02-02,Warriors,,Troy Murphy,placed on IL with bone bruise in right ankle
2159,2004-02-02,Warriors,Nick Van Exel,,activated from IL
2160,2004-02-03,Cavaliers,,Tony Battie,placed on IL with bruised left knee
2161,2004-02-03,Cavaliers,Jason Kapono,,activated from IL
2162,2004-02-03,Knicks,,Allan Houston,placed on IL with sore left knee
2163,2004-02-04,Blazers,,Travis Outlaw,placed on IL with patellar tendinitis
2164,2004-02-04,Rockets,,Mike Wilks,placed on IL with plantar fasciaitis in right foot
2165,2004-02-04,Rockets,Adrian Griffin,,activated from IL
2166,2004-02-04,Wizards,Gilbert Arenas,,activated from IL
2167,2004-02-05,Hornets,Bryce Drew,,activated from IL
2168,2004-02-07,Heat,,Wang Zhizhi,placed on IL with sprained right ankle
2169,2004-02-07,Heat,Rasual Butler,,activated from IL
2170,2004-02-08,Pacers,,Primoz Brezec,placed on IL with strained right hamstring
2171,2004-02-08,Pacers,Jonathan Bender,,activated from IL
2172,2004-02-10,Blazers,,Eddie Gill,placed on IL with patellar tendinitis
2173,2004-02-10,Hornets,,Sean Rooks,placed on IL with sprained right ankle
2174,2004-02-10,Raptors,,Jalen Rose,placed on IL with broken left hand
2175,2004-02-10,Raptors,Michael Curry,,activated from IL
2176,2004-02-11,Lakers,,Jamal Sampson,placed on IL with sprained right ankle
2177,2004-02-11,Lakers,Kobe Bryant,,activated from IL
2178,2004-02-11,Magic,,Andrew DeClercq,placed on IL recovering from surgery on right knee
2179,2004-02-12,Bulls,,Scottie Pippen,placed on IL with sore left knee
2180,2004-02-12,Bulls,Chris Jefferies,,activated from IL
2181,2004-02-12,Wizards,,Larry Hughes,placed on IL with broken left wrist (date approximate)
2182,2004-02-16,Kings,,Lawrence Funderburke,placed on IL recovering from surgery on left Achilles tendon
2183,2004-02-16,Kings,Chris Webber,,activated from IL
2184,2004-02-17,Wizards,Mitchell Butler,,activated from IL
2185,2004-02-18,Cavaliers,,J.R. Bremer,placed on IL with right knee patella tendinitis
2186,2004-02-18,Cavaliers,Tony Battie,,activated from IL
2187,2004-02-19,Hawks,,Alan Henderson,placed on IL with strained lower back
2188,2004-02-19,Hawks,,Travis Hansen,placed on IL with right foot injury
2189,2004-02-19,Suns,,Maciej Lampe,placed on IL with shin splints
2190,2004-02-19,Timberwolves,,Ndudi Ebi,placed on IL with right knee patellar tendinitis
2191,2004-02-19,Timberwolves,Wally Szczerbiak,,activated from IL
2192,2004-02-20,Grizzlies,,Mike Miller,placed on IL with sore back
2193,2004-02-20,Grizzlies,Troy Bell,,activated from IL
2194,2004-02-20,Lakers,Brian Cook,,activated from IL
2195,2004-02-20,Mavericks,,Travis Best,placed on IL with right Achilles tendon inflammation
2196,2004-02-20,Mavericks,Tony Delk,,activated from IL
2197,2004-02-20,Nuggets,,Francisco Elson,placed on IL with strained right groin
2198,2004-02-20,Pacers,,Ron Artest,placed on IL recovering from surgery on left thumb
2199,2004-02-20,Pacers,James Jones,,activated from IL
2200,2004-02-20,Pistons,Tremaine Fowlkes,,activated from IL
2201,2004-02-20,Raptors,,Vince Carter,placed on IL with sprained left ankle
2202,2004-02-20,Raptors,Michael Bradley,,activated from IL
2203,2004-02-20,Suns,Antonio McDyess,,activated from IL
2204,2004-02-20,Timberwolves,Michael Olowokandi,,activated from IL
2205,2004-02-21,Clippers,,Doug Overton,placed on IL with sprained left ankle
2206,2004-02-21,Clippers,Bobby Simmons,,activated from IL
2207,2004-02-21,Heat,,Vernell Coles,placed on IL with bruised feet
2208,2004-02-21,Heat,Samaki Walker,,activated from IL
2209,2004-02-22,Kings,,Bobby Jackson,placed on IL with strained abdominal
2210,2004-02-24,Raptors,,Lonny Baxter,placed on IL with right knee tendinitis
2211,2004-02-24,Suns,,Keon Clark,placed on IL with bone spurs in right ankle
2212,2004-02-25,Bucks,,T.J. Ford,placed on IR with buised spinal cord (out for season)
2213,2004-02-26,Bulls,,Chris Jefferies,placed on IL with sore lower back
2214,2004-02-26,Bulls,Kendall Gill,,activated from IL
2215,2004-02-26,Pistons,,Mehmet Okur,placed on IL with strained lower back
2216,2004-02-27,Spurs,Jason Hart,,activated from IL
2217,2004-02-28,Bulls,,Corie Blount,placed on IL with sprained left knee
2218,2004-02-28,Grizzlies,,Dahntay Jones,placed on IL with sprained left triceps
2219,2004-02-28,Grizzlies,Theron Smith,,activated from IL
2220,2004-02-28,Raptors,,Alvin Williams,placed on IL recovering from surgery on right knee
2221,2004-02-28,Spurs,,Tim Duncan,placed on IL with irritation of the left patella femoral joint
2222,2004-02-29,Knicks,,Martyn Norris,placed on IL with left Achilles tendinitis
2223,2004-02-29,Knicks,Allan Houston,,activated from IL
2224,2004-02-29,Nuggets,,Ryan Bowen,placed on IL with left patella tendinitis
2225,2004-02-29,Nuggets,Francisco Elson,,activated from IL
2226,2004-03-01,Hawks,,Chris Mills,placed on IL with stress reaction in right foot
2227,2004-03-01,Hawks,Travis Hansen,,activated from IL
2228,2004-03-01,Hornets,,Bryce Drew,placed on IL with lower back spasms
2229,2004-03-01,Hornets,David Wesley,,activated from IL
2230,2004-03-01,Warriors,,Nick Van Exel,placed on IL with chronic left knee inflammation
2231,2004-03-02,Pacers,,James Jones,placed on IL with bruised left quadriceps
2232,2004-03-02,Pacers,Ron Artest,,activated from IL
2233,2004-03-02,Raptors,,Michael Bradley,placed on IL with right knee tendinitis
2234,2004-03-02,Raptors,Vince Carter,,activated from IL
2235,2004-03-03,Blazers,,Vladimir Stepania,placed on IL with chronic soreness in left knee
2236,2004-03-03,Blazers,Eddie Gill,,activated from IL
2237,2004-03-03,Cavaliers,,Kedrick Brown,placed on IL with left knee tendinitis
2238,2004-03-03,Jazz,,Matt Harpring,placed on IL recovering from surgery on right knee (out for season)
2239,2004-03-03,Knicks,,Dikembe Mutombo,placed on IL with adominal surgery
2240,2004-03-03,Knicks,Cezary Trybanski,,activated from IL
2241,2004-03-03,Magic,Andrew DeClercq,,activated from IL
2242,2004-03-03,Suns,Maciej Lampe,,activated from IL
2243,2004-03-04,Bulls,,Marcus Fizer,placed on IL with sprained left ankle
2244,2004-03-04,Heat,,Loren Woods,placed on IL with strained lower back
2245,2004-03-04,Heat,Vernell Coles,,activated from IL
2246,2004-03-05,Mavericks,,Tony Delk,placed on IL with sprained left ankle
2247,2004-03-05,Mavericks,Travis Best,,activated from IL
2248,2004-03-06,Grizzlies,,Lorenzen Wright,placed on IL with strained right knee
2249,2004-03-06,Grizzlies,Ryan Humphrey,,activated from IL
2250,2004-03-09,Sonics,,Richie Frahm,placed on IL with right knee tendinitis
2251,2004-03-09,Sonics,Brent Barry,,activated from IL
2252,2004-03-10,Pistons,,Tremaine Fowlkes,placed on IL with strained left groin
2253,2004-03-10,Pistons,Mehmet Okur,,activated from IL
2254,2004-03-10,Spurs,,Matt Carroll,placed on IL with left knee tendinitis
2255,2004-03-10,Spurs,Tim Duncan,,activated from IL
2256,2004-03-10,Warriors,,Craig Claxton,placed on IL with broken right hand
2257,2004-03-10,Warriors,Troy Murphy,,activated from IL
2258,2004-03-12,76ers,,Amal McCaskill,placed on IL with strained lower back
2259,2004-03-12,76ers,,Glenn Robinson,placed on IL with surgery on right elbow
2260,2004-03-12,76ers,Derrick Coleman,,activated from IL
2261,2004-03-12,76ers,Marc Jackson,,activated from IL
2262,2004-03-12,Clippers,,Marko Jaric,placed on IL with bone bruise in left foot
2263,2004-03-12,Clippers,Doug Overton,,activated from IL
2264,2004-03-12,Knicks,,Cezary Trybanski,placed on IL with left patella tendinitis
2265,2004-03-12,Knicks,,Frank Williams,placed on IL with strained left groin
2266,2004-03-12,Knicks,Martyn Norris,,activated from IL
2267,2004-03-12,Lakers,,Brian Cook,placed on IL with back spasms
2268,2004-03-12,Lakers,Karl Malone,,activated from IL
2269,2004-03-12,Nuggets,,Chris Andersen,placed on IL with left knee patella tendinitis
2270,2004-03-12,Nuggets,Ryan Bowen,,activated from IL
2271,2004-03-12,Raptors,,Milt Palacio,placed on IL with swollen left knee
2272,2004-03-14,Heat,,Vernell Coles,placed on IL with strained lower back
2273,2004-03-14,Heat,Wang Zhizhi,,activated from IL
2274,2004-03-14,Raptors,,Robert Archibald,placed on IL with sore lower back
2275,2004-03-14,Raptors,Jalen Rose,,activated from IL
2276,2004-03-15,Hawks,,Joel Przybilla,placed on IL with left knee tendinitis
2277,2004-03-16,Hornets,,Jamal Mashburn,placed on IL with sprained left ankle
2278,2004-03-17,Raptors,,Roger Mason Jr.,placed on IL with sprained left ankle
2279,2004-03-17,Raptors,Alvin Williams,,activated from IL
2280,2004-03-18,Rockets,,Kelvin Cato,placed on IL with strained left shoulder
2281,2004-03-19,Cavaliers,,Jason Kapono,placed on IL with right knee tendinitis
2282,2004-03-19,Cavaliers,Kedrick Brown,,activated from IL
2283,2004-03-19,Lakers,,Horace Grant,placed on IL with tear in right hip
2284,2004-03-19,Nets,,Jason Kidd,placed on IL with bone bruise in left knee
2285,2004-03-19,Nets,Tamar Slay,,activated from IL
2286,2004-03-20,Grizzlies,,Ryan Humphrey,placed on IL with knee injury
2287,2004-03-20,Grizzlies,Mike Miller,,activated from IL
2288,2004-03-21,Lakers,Brian Cook,,activated from IL
2289,2004-03-21,Wizards,,Lonny Baxter,placed on IL with right knee tendinitis
2290,2004-03-21,Wizards,Larry Hughes,,activated from IL
2291,2004-03-22,76ers,,Derrick Coleman,placed on IL with left knee tendinitis
2292,2004-03-22,76ers,Amal McCaskill,,activated from IL
2293,2004-03-22,Nets,,Hubert Davis,placed on IL with left knee tendinitis
2294,2004-03-23,Wizards,,Jarvis Hayes,placed on IL with strained left hamstring
2295,2004-03-23,Wizards,Chris Whitney,,activated from IL
2296,2004-03-24,Nuggets,,Nikoloz Tskitishvili,placed on IL with sprained left ankle
2297,2004-03-24,Nuggets,Chris Andersen,,activated from IL
2298,2004-03-24,Pacers,,Jonathan Bender,placed on IL with sprained right shoulder
2299,2004-03-24,Pacers,Primoz Brezec,,activated from IL
2300,2004-03-24,Raptors,,Alvin Williams,placed on IL with sore right knee
2301,2004-03-24,Raptors,Milt Palacio,,activated from IL
2302,2004-03-25,Bulls,,Paul Shirley,placed on IL with bruised kidney
2303,2004-03-25,Bulls,Marcus Fizer,,activated from IL
2304,2004-03-26,Blazers,,Omar Cook,placed on IL with left quadriceps tendinitis
2305,2004-03-26,Rockets,,Adrian Griffin,placed on IL with right knee injury
2306,2004-03-26,Rockets,Mike Wilks,,activated from IL
2307,2004-03-27,Cavaliers,,Jeff McInnis,placed on IL with bruised right shoulder
2308,2004-03-28,Clippers,,Quentin Richardson,placed on IL with back spasms
2309,2004-03-30,Lakers,,Kareem Rush,placed on IL with bone bruise in right foot
2310,2004-03-31,Heat,,Wang Zhizhi,placed on IL with turf toe
2311,2004-03-31,Heat,Loren Woods,,activated from IL
2312,2004-03-31,Magic,,Tracy McGrady,placed on IL with left knee tendinitis
2313,2004-03-31,Raptors,,Jerome Moiso,placed on IL with strained right hip flexor
2314,2004-03-31,Raptors,Robert Archibald,,activated from IL
2315,2004-03-31,Timberwolves,,Troy Hudson,placed on IL with sprained left ankle
2316,2004-03-31,Wizards,,Christian Laettner,placed on IL with back spasms
2317,2004-03-31,Wizards,Lonny Baxter,,activated from IL
2318,2004-04-02,Cavaliers,,Eric Williams,placed on IL with bruised left quadricep
2319,2004-04-02,Cavaliers,Jason Kapono,,activated from IL
